Date	ExchRate	CurrencyFrom	CurrencyTo
2016-07-13	1.2965	USD	CAD
2016-07-14	1.2915	USD	CAD
2016-07-15	1.2975	USD	CAD
2016-07-18	1.2984	USD	CAD
2016-07-19	1.3029	USD	CAD
2016-07-20	1.3040	USD	CAD
2016-07-21	1.3057	USD	CAD
2016-07-22	1.3178	USD	CAD
2016-07-25	1.3225	USD	CAD
2016-07-26	1.3209	USD	CAD
2016-07-27	1.3220	USD	CAD
2016-07-28	1.3170	USD	CAD
2016-07-29	1.3041	USD	CAD
2016-08-02	1.3089	USD	CAD
2016-08-03	1.3080	USD	CAD
2016-08-04	1.3025	USD	CAD
2016-08-05	1.3180	USD	CAD
2016-08-08	1.3164	USD	CAD
2016-08-09	1.3117	USD	CAD
2016-08-10	1.3060	USD	CAD
2016-08-11	1.3007	USD	CAD
2016-08-12	1.2945	USD	CAD
2016-08-15	1.2922	USD	CAD
2016-08-16	1.2862	USD	CAD
2016-08-17	1.2885	USD	CAD
2016-08-18	1.2775	USD	CAD
2016-08-19	1.2878	USD	CAD
2016-08-22	1.2942	USD	CAD
2016-08-23	1.2902	USD	CAD
2016-08-24	1.2940	USD	CAD
2016-08-25	1.2937	USD	CAD
2016-08-26	1.2947	USD	CAD
2016-08-29	1.3019	USD	CAD
2016-08-30	1.3076	USD	CAD
2016-08-31	1.3124	USD	CAD
2016-09-01	1.3107	USD	CAD
2016-09-02	1.3015	USD	CAD
2016-09-02	0.7678	CAD	USD
